colour,description,image_urls,product_name
Passionfruit Stripe ,"The Cotton Voile Sarong is the perfect cover up on sunny escapes both near and far. Cut from cotton-voile in a colourful passionfruit stripe, it's lightweight, breathable and can be worn on the waist over a swimsuit, or tied around the neck as a dress.Lightweight cotton voile sarongCustom stripe printDesigned to be worn multiple waysLength: 173cmWidth: 107cm100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Cotton-Voile-Sarong-Passionfruit-Stripe_1354.jpg?v=1656384342,Cotton Voile Sarong
Pink ,"We have created a limited-edition capsule of mementos designed to transport you to some of our favourite places in Ibiza.Heavyweight Cotton Cavas Tote BagDestination logo ""Benirrás""Green canvas with a pink logoShoulder strap handlesSize: 37cm W x 40cm H x 13cm D100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Benirras-Logo-Canvas-Tote-Pink.jpg?v=1656384332,Benirrás Logo Canvas Tote
Coral ,"We have created a limited-edition capsule of mementos designed to transport you to some of our favourite places in Ibiza.

Dad style soft cotton cap
Destination logo ""Ibiza""
Coral with a contrast blue logo
Adjustable strap with metal clasp
One size fits all
100% Cotton
Cold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Ibiza-Logo-Cotton-Cap-Coral1.jpg?v=1656384332,Ibiza Logo Cotton Cap
Purple ,"We have created a limited-edition capsule of mementos designed to transport you to some of our favourite places in Ibiza.

Dad style soft cotton cap
Destination logo ""Benirrás""
Purple with a contrast lemon logo
Adjustable strap with metal clasp
One size fits all
100% Cotton
Cold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Playa-D_En-Bossa-Logo-Cotton-Cap-Purple2copy.jpg?v=1656384332,Playa D'En Bossa Logo Cotton Cap
Yellow ,"We have created a limited-edition capsule of mementos designed to transport you to some of our favourite places in Ibiza.

    Lightweight cotton destination logo t-shirt
    Destination logo &quot;Ibiza&quot;
    Yellow with contrast blue logo
    Slight box shape fit
    Crew neckline with rib collar
    Two sizes - M and XL
    100% Cotton
    Cold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Ibiza-Destination-T-Shirt-Yellowcopy.jpg?v=1656384332,Ibiza Destination T-Shirt
Bright Green ,"Puglia, south-east Italy. A series of hillside towns whitewashed by sun and sand. Engulfed by vast plains and a sapphire sea. Expansive and energetic. Unashamedly unkempt. A land of beautiful extremes.We have created a limited-edition capsule of mementos designed to transport you to some of our favourite places in Puglia: Pescoluse, Margherita Di Savoia and Polignano a Mare.Lightweight cotton destination logo t-shirtDestination logo &quot;Pescoluse&quot;Bright green with contrast chocolate logoSlight box shape fitCrew neckline with rib collarTwo sizes - M and XL100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Unisex-Pescoluse-Logo-Cotton-T-Shirt-Bright-Green.jpg?v=1646188605,Pescoluse Destination T-Shirt
Light Pink ,"We have created a limited-edition capsule of mementos designed to transport you to some of our favourite places in Ibiza.Lightweight cotton destination logo t-shirtDestination logo ""Benirrás""Light pink with contrast green logoSlight box shape fitCrew neckline with rib collarTwo sizes - M and XL100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Benirras-Destination-T-Shirt-Light-Pink.jpg?v=1656384331,Benirrás Destination T-Shirt
Multi Woven Stripe ,The Woven Bucket Hat is vibrantly printed with multi-coloured stripe print. This bucket hat is made from a breathable cotton with a floppy brim to shield your face from the sun. Wear yours to the beach or by the pool.Woven cotton stripe bucket hatMid-width brimTop-stitching detailCustom stripeFully linedOne size100% CottonCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Woven-Terry-Bucket-Hat-Multi-Woven-Stripe.jpg?v=1656384329,Woven Bucket Hat
Cherry Mahogany/Candy Pink/Lemon Sorbet ,"The Woven Terry Border Towel in candy colour pallete of Cherry Mahogany, Candy Pink and &nbsp;Lemon Sorbet is the perfect accessory for laid-back days spent by the pool or at the beach. It&#39;s made from a soft cotton terry towel and outlined with a contrasting chevron border.Woven terry border towelContrast three-tone colour with chevron borderVenroy logo attached90cm x 150cm100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Woven-Terry-Border-Towel-Cherry-Mahogany-Candy-Pink-Lemon-Sorbet_1.jpg?v=1656384328,Woven Terry Border Towel
Grey Marl ,"The Unisex Zip Neck Sweater in Grey Marl is an easy thrown on for chilly days. Made from soft loop-back cotton, this sweatshirt has a funnel neckline with a half-zip collar, a relaxed fit, and ribbed detailing on the cuffs and hemline for the perfect fit. Wear yours with the matching track pants.Zip neck cotton sweaterRelaxed fitTailored high neck with metal zipRibbed cuffs and hemlineHip length100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Unisex-Zip-Neck-Sweater-Grey-Marle_480114b4-367a-4f97-a23f-6b399f8174fe.jpg?v=1646188841,Unisex Track Zip Sweater
Pear and Cannoli Cream ,"The Solid Swim Short in Pear is a classic, comfortable option, whether you&#39;re jumping in the ocean or lounging by the pool. They have a contrast elasticated drawstring waistband, a mid-thigh length, and a back welt pocket with a handy zipper to keep your keys safe.Solid swim shortMid-thigh lengthTwo-toned Pear and Cannoli Cream colourwayElasticated waistband with drawcordsSide pocketsMesh liningBack welt pocket with zipper and embroidered logoMade from 100% Recycled PolyesterCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Solid-Swim-Short-Pear-Cannoli-Cream.jpg?v=1646188468,Solid Swim Short
Black ,"The Solid Stretch Swim Short in Black is a swim classic whether you are heading for a swim in the ocean or lounging by the pool. Cut from a quick-dry recycled poly-blend, these short has an elasticated waist, mesh lining for comfort and practical pockets at the side and back.Solid stretch swim shortElasticated waist with drawcordsMid-thigh lengthMesh liningSide pocketsBack welt pocket with zipper and embroidered logo97% Recycled Polyester and 3% SpandexCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Solid-Stretch-Swim-Short-Black.jpg?v=1654746854,Solid Stretch Swim Short
Grey Marl/Sand Marl/Black ,"The Cotton Check Knit Sweater is designed with a graphic check that will add a sense of fun to even the dullest of days. Knitted from mid-weight cotton in hues of grey marl, sand, and black, this knit has an oversized fit and is finished with ribbed detailing on the neckline, cuffs, and hem.Cotton check knit sweaterOversized slouchy fitDropped ShoulderCustom textured check pattern with bold contrast stripeRibbed neck, cuffs, and hem100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Cotton-Check-Knit-Sweater-Grey-Marl-Sand-Marl-Black.jpg?v=1656384314,Cotton Check Knit Sweater
Grey Marl ,"The Track Pant in Grey Marl is as cool as they are comfortable. This coveted style is back this season in the same fit you love, cut from loop-back cotton these pants have an elasticated waistband, side pockets, and a relaxed fit through the legs and taper at the elasticated cuffs. Wear yours with the matching zip sweater.Relaxed cotton track pantElasticated waistband with adjustable drawstringSide pocketsTapered leg with elasticated cuffsWe suggest sizing down in this style for a slimmer fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Fitted-Rib-Tank-Off-White-1099.jpg?v=1652073022,Track Pant
Black ,"The Track Pant in Black is as cool as they are comfortable. This coveted style is back this season in the same fit you love, cut from loop-back cotton these pants have an elasticated waistband, side pockets, and a relaxed fit through the legs and taper at the elasticated cuffs. Wear yours with the matching zip sweater.Relaxed cotton track pantElasticated waistband with adjustable drawstringSide pocketsTapered leg with elasticated cuffsWe suggest sizing down in this style for a slimmer fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Track-Pant-Black-0300.jpg?v=1652073022,Track Pant
Bone White ,"The Track Pant in Bone White is as cool as they are comfortable. This coveted style is back this season in the same fit you love, cut from loop-back cotton these pants have an elasticated waistband, side pockets, and a relaxed fit through the legs and taper at the elasticated cuffs. Wear yours with the matching zip sweater.Relaxed cotton track pantElasticated waistband with adjustable drawstringSide pocketsTapered leg with elasticated cuffsWe suggest sizing down in this style for a slimmer fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Track-Pant-Bone-White-1651.jpg?v=1652073022,Track Pant
Sand ,"The Fixed Waist Linen Trouser is tailored from sand linen in a wide-leg silhouette enhanced by a fixed waist, front tucks, and side and back patch pockets. Style yours with a fitted tank and the matching oversized blazer.Mid-weight wide-leg linen pantsFixed waistband sitting on the true waistFunctional belt loopsTwo front tucks detailBack yoke detail with patch pockets100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_Fixed-Waist-Linen-Trouser-Sand-_1513_0f847f74-a231-427d-b044-414bea2ceee1.jpg?v=1646188183,Fixed Waist Linen Trouser
